No,Name,Price/Bulan,Location
1,Apartment Javastraat,                €875 per month            ,            3312 XE Dordrecht (Indische Buurt-Noord)        
2,Studio Jacob Marisstraat,                €650 per month            ,            3314 TL Dordrecht (Jacob Marisstraat en omgeving)        
3,House Maaskant-erf 106,"                €1,500 per month            ",            3315 KM Dordrecht (Van Ravesteijn-erf en omgeving)        
4,Apartment S.M. Hugo van Gijnweg,"                €1,175 per month            ",            3317 JE Dordrecht (Crabbehof-Noord)        
5,Apartment Houweningestraat 64,"                €1,049 per month            ",            3312 PM Dordrecht (Hoekenessestraat en omgeving)        
6,Apartment Tjongerstraat,                €850 per month            ,            3313 BJ Dordrecht (Merwedepolder-Oost)        
7,Apartment Verlengde Schoolstraat,"                €1,395 per month            ",            3311 SN Dordrecht (Bleijenhoek)        
8,Apartment Wijnstraat,"                €1,000 per month            ",            3311 BV Dordrecht (Grote Markt en omgeving)        
9,Apartment Nassauplantsoen,"                €1,195 per month            ",            3314 LV Dordrecht (Pr. Bernhardstraat en omgeving)        
10,House Haaswijkweg Oost,"                €2,150 per month            ",            3319 GB Dordrecht (Dubbeldam-Noord)        
11,Apartment Grotekerksbuurt,"                €2,450 per month            ",            3311 CB Dordrecht (Groenmarkt en omgeving)        
12,Apartment Kasperspad,"                €1,100 per month            ",            3311 ZG Dordrecht (Kasperspad en omgeving)        
13,Apartment Boomstraat,"                €1,300 per month            ",            3311 TC Dordrecht (Bleijenhoek)        
14,Apartment Tjongerstraat,                €850 per month            ,            3313 BK Dordrecht (Merwedepolder-Oost)        
15,Apartment Voorstraat,"                €1,150 per month            ",            3311 EP Dordrecht (Centrum)        
16,Apartment Vest 189,"                €1,270 per month            ",            3311 TV Dordrecht (Centrum)        
17,Apartment Grote Appelsteiger,"                €1,225 per month            ",            3311 EB Dordrecht (Bleijenhoek)        
18,Apartment Korte Parallelweg 87,"                €1,544 per month            ",            3311 JN Dordrecht (Achterhakkers en omgeving)        
19,Apartment Van Eesterenplein 110,                €829 per month            ,            3315 KT Dordrecht (Van Ravesteijn-erf en omgeving)        
